Average time to generate key with 3 bits: 8ms
Average time to generate key with 4 bits: 8ms
Average time to generate key with 5 bits: 7ms
Average time to generate key with 6 bits: 7ms
Average time to generate key with 7 bits: 8ms
Average time to generate key with 8 bits: 9ms
Average time to generate key with 9 bits: 10ms
Average time to generate key with 10 bits: 11ms
Average time to generate key with 11 bits: 12ms
Average time to generate key with 12 bits: 13ms
Average time to generate key with 13 bits: 15ms
Average time to generate key with 14 bits: 16ms
Average time to generate key with 15 bits: 17ms

Average time to encrypt: 528ms and decrypt: 1123 ms for n with 64 bits
Average time to encrypt: 544ms and decrypt: 1188 ms for n with 66 bits
Average time to encrypt: 517ms and decrypt: 1195 ms for n with 68 bits
Average time to encrypt: 850ms and decrypt: 2031 ms for n with 70 bits
Average time to encrypt: 463ms and decrypt: 1162 ms for n with 72 bits
Average time to encrypt: 526ms and decrypt: 1387 ms for n with 74 bits
Average time to encrypt: 550ms and decrypt: 1367 ms for n with 76 bits
Average time to encrypt: 856ms and decrypt: 2341 ms for n with 78 bits
Average time to encrypt: 1187ms and decrypt: 3379 ms for n with 80 bits
Average time to encrypt: 651ms and decrypt: 1753 ms for n with 82 bits
Average time to encrypt: 673ms and decrypt: 2007 ms for n with 84 bits
Average time to encrypt: 706ms and decrypt: 2052 ms for n with 86 bits
Average time to encrypt: 1109ms and decrypt: 3479 ms for n with 88 bits
Average time to encrypt: 1686ms and decrypt: 5235 ms for n with 90 bits
Average time to encrypt: 798ms and decrypt: 2401 ms for n with 92 bits
Average time to encrypt: 799ms and decrypt: 2666 ms for n with 94 bits





RAZBIJANJE BIGINT: 8 bajtov, N = 10, K = 3, cas: 34 mikrosekund
REKONSTRUKCIJA BIGINT: 8 bajtov, N = 10, K = 3, cas: 15 mikrosekund
RAZBIJANJE BYTE: 8 bajtov, N = 10, K = 3, cas: 252 mikrosekund
REKONSTRUKCIJA BYTE: 8 bajtov, N = 10, K = 3, cas: 64 mikrosekund
RAZBIJANJE BIGINT: 8 bajtov, N = 10, K = 5, cas: 27 mikrosekund
REKONSTRUKCIJA BIGINT: 8 bajtov, N = 10, K = 5, cas: 15 mikrosekund
RAZBIJANJE BYTE: 8 bajtov, N = 10, K = 5, cas: 216 mikrosekund
REKONSTRUKCIJA BYTE: 8 bajtov, N = 10, K = 5, cas: 83 mikrosekund
RAZBIJANJE BIGINT: 8 bajtov, N = 20, K = 3, cas: 43 mikrosekund
REKONSTRUKCIJA BIGINT: 8 bajtov, N = 20, K = 3, cas: 11 mikrosekund
RAZBIJANJE BYTE: 8 bajtov, N = 20, K = 3, cas: 368 mikrosekund
REKONSTRUKCIJA BYTE: 8 bajtov, N = 20, K = 3, cas: 56 mikrosekund
RAZBIJANJE BIGINT: 8 bajtov, N = 20, K = 5, cas: 92 mikrosekund
REKONSTRUKCIJA BIGINT: 8 bajtov, N = 20, K = 5, cas: 25 mikrosekund
RAZBIJANJE BYTE: 8 bajtov, N = 20, K = 5, cas: 715 mikrosekund
REKONSTRUKCIJA BYTE: 8 bajtov, N = 20, K = 5, cas: 150 mikrosekund
RAZBIJANJE BIGINT: 8 bajtov, N = 20, K = 10, cas: 153 mikrosekund
REKONSTRUKCIJA BIGINT: 8 bajtov, N = 20, K = 10, cas: 74 mikrosekund
RAZBIJANJE BYTE: 8 bajtov, N = 20, K = 10, cas: 1269 mikrosekund
REKONSTRUKCIJA BYTE: 8 bajtov, N = 20, K = 10, cas: 463 mikrosekund
RAZBIJANJE BIGINT: 9 bajtov, N = 10, K = 3, cas: 62 mikrosekund
REKONSTRUKCIJA BIGINT: 9 bajtov, N = 10, K = 3, cas: 62 mikrosekund
RAZBIJANJE BYTE: 9 bajtov, N = 10, K = 3, cas: 677 mikrosekund
REKONSTRUKCIJA BYTE: 9 bajtov, N = 10, K = 3, cas: 224 mikrosekund
RAZBIJANJE BIGINT: 9 bajtov, N = 10, K = 5, cas: 51 mikrosekund
REKONSTRUKCIJA BIGINT: 9 bajtov, N = 10, K = 5, cas: 31 mikrosekund
RAZBIJANJE BYTE: 9 bajtov, N = 10, K = 5, cas: 423 mikrosekund
REKONSTRUKCIJA BYTE: 9 bajtov, N = 10, K = 5, cas: 162 mikrosekund
RAZBIJANJE BIGINT: 9 bajtov, N = 20, K = 3, cas: 72 mikrosekund
REKONSTRUKCIJA BIGINT: 9 bajtov, N = 20, K = 3, cas: 23 mikrosekund
RAZBIJANJE BYTE: 9 bajtov, N = 20, K = 3, cas: 618 mikrosekund
REKONSTRUKCIJA BYTE: 9 bajtov, N = 20, K = 3, cas: 96 mikrosekund
RAZBIJANJE BIGINT: 9 bajtov, N = 20, K = 5, cas: 108 mikrosekund
REKONSTRUKCIJA BIGINT: 9 bajtov, N = 20, K = 5, cas: 30 mikrosekund
RAZBIJANJE BYTE: 9 bajtov, N = 20, K = 5, cas: 920 mikrosekund
REKONSTRUKCIJA BYTE: 9 bajtov, N = 20, K = 5, cas: 192 mikrosekund
RAZBIJANJE BIGINT: 9 bajtov, N = 20, K = 10, cas: 143 mikrosekund
REKONSTRUKCIJA BIGINT: 9 bajtov, N = 20, K = 10, cas: 67 mikrosekund
RAZBIJANJE BYTE: 9 bajtov, N = 20, K = 10, cas: 1211 mikrosekund
REKONSTRUKCIJA BYTE: 9 bajtov, N = 20, K = 10, cas: 484 mikrosekund
RAZBIJANJE BIGINT: 10 bajtov, N = 10, K = 3, cas: 21 mikrosekund
REKONSTRUKCIJA BIGINT: 10 bajtov, N = 10, K = 3, cas: 10 mikrosekund
RAZBIJANJE BYTE: 10 bajtov, N = 10, K = 3, cas: 213 mikrosekund
REKONSTRUKCIJA BYTE: 10 bajtov, N = 10, K = 3, cas: 50 mikrosekund
RAZBIJANJE BIGINT: 10 bajtov, N = 10, K = 5, cas: 64 mikrosekund
REKONSTRUKCIJA BIGINT: 10 bajtov, N = 10, K = 5, cas: 44 mikrosekund
RAZBIJANJE BYTE: 10 bajtov, N = 10, K = 5, cas: 740 mikrosekund
REKONSTRUKCIJA BYTE: 10 bajtov, N = 10, K = 5, cas: 303 mikrosekund
RAZBIJANJE BIGINT: 10 bajtov, N = 20, K = 3, cas: 75 mikrosekund
REKONSTRUKCIJA BIGINT: 10 bajtov, N = 20, K = 3, cas: 22 mikrosekund
RAZBIJANJE BYTE: 10 bajtov, N = 20, K = 3, cas: 635 mikrosekund
REKONSTRUKCIJA BYTE: 10 bajtov, N = 20, K = 3, cas: 135 mikrosekund
RAZBIJANJE BIGINT: 10 bajtov, N = 20, K = 5, cas: 87 mikrosekund
REKONSTRUKCIJA BIGINT: 10 bajtov, N = 20, K = 5, cas: 28 mikrosekund
RAZBIJANJE BYTE: 10 bajtov, N = 20, K = 5, cas: 824 mikrosekund
REKONSTRUKCIJA BYTE: 10 bajtov, N = 20, K = 5, cas: 189 mikrosekund
RAZBIJANJE BIGINT: 10 bajtov, N = 20, K = 10, cas: 151 mikrosekund
REKONSTRUKCIJA BIGINT: 10 bajtov, N = 20, K = 10, cas: 83 mikrosekund
RAZBIJANJE BYTE: 10 bajtov, N = 20, K = 10, cas: 1432 mikrosekund
REKONSTRUKCIJA BYTE: 10 bajtov, N = 20, K = 10, cas: 526 mikrosekund
RAZBIJANJE BIGINT: 11 bajtov, N = 10, K = 3, cas: 40 mikrosekund
REKONSTRUKCIJA BIGINT: 11 bajtov, N = 10, K = 3, cas: 21 mikrosekund
RAZBIJANJE BYTE: 11 bajtov, N = 10, K = 3, cas: 426 mikrosekund
REKONSTRUKCIJA BYTE: 11 bajtov, N = 10, K = 3, cas: 121 mikrosekund
RAZBIJANJE BIGINT: 11 bajtov, N = 10, K = 5, cas: 35 mikrosekund
REKONSTRUKCIJA BIGINT: 11 bajtov, N = 10, K = 5, cas: 24 mikrosekund
RAZBIJANJE BYTE: 11 bajtov, N = 10, K = 5, cas: 374 mikrosekund
REKONSTRUKCIJA BYTE: 11 bajtov, N = 10, K = 5, cas: 146 mikrosekund
RAZBIJANJE BIGINT: 11 bajtov, N = 20, K = 3, cas: 69 mikrosekund
REKONSTRUKCIJA BIGINT: 11 bajtov, N = 20, K = 3, cas: 20 mikrosekund
RAZBIJANJE BYTE: 11 bajtov, N = 20, K = 3, cas: 6929 mikrosekund
REKONSTRUKCIJA BYTE: 11 bajtov, N = 20, K = 3, cas: 109 mikrosekund
RAZBIJANJE BIGINT: 11 bajtov, N = 20, K = 5, cas: 64 mikrosekund
REKONSTRUKCIJA BIGINT: 11 bajtov, N = 20, K = 5, cas: 23 mikrosekund
RAZBIJANJE BYTE: 11 bajtov, N = 20, K = 5, cas: 807 mikrosekund
REKONSTRUKCIJA BYTE: 11 bajtov, N = 20, K = 5, cas: 160 mikrosekund
RAZBIJANJE BIGINT: 11 bajtov, N = 20, K = 10, cas: 160 mikrosekund
REKONSTRUKCIJA BIGINT: 11 bajtov, N = 20, K = 10, cas: 90 mikrosekund
RAZBIJANJE BYTE: 11 bajtov, N = 20, K = 10, cas: 1921 mikrosekund
REKONSTRUKCIJA BYTE: 11 bajtov, N = 20, K = 10, cas: 732 mikrosekund
RAZBIJANJE BIGINT: 12 bajtov, N = 10, K = 3, cas: 30 mikrosekund
REKONSTRUKCIJA BIGINT: 12 bajtov, N = 10, K = 3, cas: 15 mikrosekund
RAZBIJANJE BYTE: 12 bajtov, N = 10, K = 3, cas: 298 mikrosekund
